YAR060C           	            n/a	         217483	     2705	    0	    1
YAR020C (PAU7)    	            n/a	         177021	     2257	    1	    1
YAL040C (CLN3)    	          67840	          67521	     1195	   36	    0
YAL067C (SEO1)    	            n/a	           9017	     1074	    1	    4
YAL010C (MDM10)   	         135687	         135667	      188	    0	    0
YAL028W (FRT2)    	          92790	          92901	      629	    9	    0
YAL012W (CYS3)    	         130736	         130802	      268	   13	    0
YAL047C (SPC72)   	            n/a	          56858	      171	    0	    1
YAL014C (SYN8)    	         129064	         129020	      250	    1	    0
YAL031W-A         	            n/a	          84670	      194	    0	    0
YAL064W-B         	            n/a	          12047	       94	    0	    0
YAL064W           	            n/a	          21526	     7781	    0	    0
YAL027W (SAW1)    	            n/a	          94688	      200	    0	    1
YAL055W (PEX22)   	          42158	          42178	      275	    1	    0
YAL019W (FUN30)   	         114816	         114920	       99	    0	    0
YAL065C           	            n/a	          11952	       94	    0	    0
YAL056W (GPB2)    	          39214	          39260	      212	    0	    0
YAL036C (RBG1)    	          76173	          76153	      274	    2	    0
YAR073W (IMD1)    	            n/a	         227733	      878	    0	    1
YAR007C (RFA1)    	         158686	         158621	      345	    6	    0
YAL069W           	            n/a	            335	      334	    0	    0
YAL017W (PSK1)    	         119858	         120226	      683	   13	    1
YAR050W (FLO1)    	            n/a	         203394	     1613	    0	    1
YAR035C-A         	            n/a	         192411	      201	    0	    0
YAL008W (FUN14)   	         136845	         136916	      280	    0	    0
YAL034C-B         	            n/a	          79843	      867	    0	    0
YAR069C           	            n/a	         224295	      258	    0	    0
YAL068W-A         	            n/a	            538	      537	    0	    0
YAR066W           	            n/a	         221040	      551	    0	    1
YAR002C-A (ERP1)  	         154768	         154726	      280	    1	    1
YAL037C-A         	          73523	          73519	      501	    5	    1
YAR031W (PRM9)    	            n/a	         186830	      290	    0	    0
YAR033W (MST28)   	            n/a	         188101	      374	    0	    1
YAL033W (POP5)    	          82690	          82707	      754	    8	    0
YAR018C (KIN3)    	         171738	         171698	      510	    7	    2
YAL059C-A         	            n/a	          36919	      545	    0	    0
YAL023C (PMT2)    	         108637	         108552	      325	   10	    0
YAL025C (MAK16)   	         101170	         101146	      419	    4	    0
